id,attribute_ids
00003928,37 46 52 54 83 84 87
00004088,24 47 58
00001761,52 73 82 84 87 89 94
00000731,48 49 65
00001469,67 70 73 81
00006346,8 12 40
00002674,41 48 58 80
00003509,31 47 52 59 66 95
00000241,46 59 89 96
00003810,30 37 52 67
00001237,3 61
00001126,11 48 66
00002723,48 66 84 87
00006596,5 8 52
00002680,48 66 84 87
00001670,46 58 73 80
00006576,12 36
00001402,52 58
00001116,21 37 48 66 73 89
00004051,46 48 52 58 73 80 89
00000901,48 58 64 95
00004099,8 30 58
00003521,54 59
00002243,10 30
00003244,8 13 58
00004107,48 72 84 87 0
00002403,8 9 10 31
00002126,14 24 49
00000600,9 24 48 58 94
00002062,3 14 45 46 58 73 80
00002596,8 40 44
00000517,34 46 58 94
00001306,37 48
00002010,52 67
00002119,4 30 58
00002829,54 70 87 96
00002221,8 54 66 87
00000888,48 64 72 87
00004092,37 47 66 87
00000428,30 43 58 73
00006534,5 8 22
00000132,16 44 52 58
00003749,37 48 93
00002756,8 17 30 41
00003167,48 70 87
00002997,46 70 73 87
00002137,46 58 73 93
00003801,52 58 0
00006720,11 35 56 88
00000253,52 58 73 82 98
00000769,30 47 66
00004388,48 52
00002918,52 58 67 80
00002527,51 70 72 84 85 87 96
00001614,8 50 85
00001672,9 58
00004343,11 47 57
00001403,10 37
00006334,51 89
00001018,52 58
00003446,15 58 84
00000902,48 66 94 96
00003261,41 44 48
00003125,48 59 70
00003488,8 44 52 67 89
00002146,47 73 87 91
00006498,8 39 58
00003432,37 48 94
00006524,10 22
00000169,14 37
00000209,47 59 70
00003348,8 31 89
00002863,46 52 58 70 84
00004097,3 8 67
00006449,9 73 82 84 94 95
00003680,5 8
00000014,46 71 84
00004156,14 37
00001549,8 41 80
00001867,8 48 82 84
00003914,37 58
00000540,37 48 52 64 87 89
00000915,47 66 84
00000434,44 49 66
00001954,17 47 73 89
00003271,37 48
00003360,5 52 73 82 85
00006364,40 48 70 87
00001330,14 50 52
00002932,37 46 65
00003891,10 13
00000895,58 70 84
00001049,24 52 58 73 80
00006681,11 39
00003906,48 72 82
00000603,52 66 73 80
00000655,47 70 76 95 98
00000742,8 37 52 54 58 95
00002928,49 70 72 87
00004268,11 48 70 95
00000375,37 51 89
00001536,44 48
00002287,44 58 0
00006668,6 8
00001474,47 66 73 89
00001038,8 30 37
00006860,85 98
00001834,52 70 84
00001458,24 41 44 49 52 67 89
00002474,25 29 36 82 101
00002003,58 64 84 95
00004288,50 52 59 70
00000816,10 30
00000214,52 65 87
00003617,8 46 70 84 87
00003164,48 66 84 87
00003785,3 5 8 25 30 38 41 44 52 58
00004067,24 46 59
00003141,37 50 70 84 94
00001464,41 58 73 80
00001583,54 58 59 87
00000036,5 57
00001417,48 58 65 87 93
00003650,46 52 58 93
00003772,8 10 81
00001838,37 48 70 89 95
00002659,8 48 88
00006478,49 93
00003328,30 58 0
00001179,14 44
00006706,21 24 47 49 73
00002558,48 70 87
00003518,37 54 58 84 89
00000016,37 54 93
00003720,48 66 70 96
00003276,48 70 84 87
00006791,52 53 65 82 89
00006382,12 29 39
00006394,37 54 96 99
00000481,71 80 89 93 94
00002692,9 29 58
00004068,48 70 76 84
00000106,4 8 13 30 58
00003634,56 58 65
00001154,48 52 88
00002971,8 59 61
00001484,32 67
00004155,8 30
00003309,3 46 50 58 73 80 0
00003744,30 67
00004195,48 64 87
00003915,48 66 76
00001922,48 52 66 84 95
00002993,8 10 30
00003059,90
00006503,48 93 98
00001750,8 30
00001515,8 10 30
00003646,8 46 58 64 72 84 87 93
00001113,47 65 72 84 87 101
00000746,48 65
00004100,56 59 70
00004009,8 46 58 73
00004157,30 58 89
00002271,56 58 66 73 87
00000682,48 58 73 82
00001093,12 48
00004285,37 48 91
00000309,46 66 76
00004008,10 31
00003721,67 70 84 87
00003852,47 70 84
00000738,5 50 72 94
00002319,5 15
00000763,51 70 84 95
00001019,5 39 52 89
00003228,48 65
00003198,54 65 84 87 98
00001094,9 47 58 82
00006846,9 36
00001357,48 70 84
00000121,12 36
00000783,48 72 84 87
00001647,46 77 84
00003784,47 52 70 84
00002349,3 46 58 73 80
00003802,48 52 58 59 80
00004342,13 58
00002203,10 37
00003055,49 52 67 73 89
00001815,52 58 84 88 89
00006526,15 29
00001641,5 15
00000663,3 57
00006391,70 84 90 93
00002078,21 48 64
00000179,37 46 54 87 89
00000027,48 66 96
00000750,24 47 98
00002867,48 52 84 96
00002043,3 9 46 58
00000550,30 32 42 52 84 87 89
00002728,73 80 84
00001540,9 48 52 58 59 80
00001521,48 64 70
00001392,46 73 80 89
00003923,48 70 72 96
00004058,52 65
00001468,47 82 96
00002920,49 70 73
00000876,12 29 30 32
00002953,13 25 31 49 67
00003739,39 58
00001413,39 52
00003896,49 67
00003818,12 29 30
00006582,34 56 89
00001326,48 52 73 80 82 0
00003723,48 70 84 89
00006569,55 59 73 80
00000649,52 84
00003588,14 16 37
00006667,6 81
00002679,48 70 84 0
00003339,47 48 64 87
00000430,24 58 73 80
00002039,24 66
00003834,84 87 90
00003480,10 31
00004185,12 22 25 44 58
00001482,8 10 31
00003529,24 49 73 82
00006722,68 92
00006419,58 89 98
00006433,34 45 89
00006549,25 51
00002533,48 66 84 93
00001783,21 49 70 93
00000138,48 50 77 0
00001680,44 52 78
00000859,3 46 47 58 73 80 93 101
00002549,8 30
00001162,9 35 73 82
00002092,47 52 70 71 96
00002795,51 70 84 95
00001951,8 11 52 58
00001881,46 65
00002665,48 66 89 94 96 101
00002343,10 30 31 32
00006289,11 66 81 93 94
00002448,47 59 70 89
00000596,49 52 58 84 88
00000128,56 67 73 82
00002767,48 84 88
00000976,14 46 57 70 73 80
00001530,47 56 59
00001440,8 10 30 32
00001547,8 37 54 70 76 84 85
00001790,11 37 54 87 93
00006287,1 4 58
00000371,67 87 89 0
00000423,11 18 46 80
00000009,47 84 95
00001264,13 30
00002431,1 49 52 72 84 87 88
00002683,46 84 87
00001652,8 46 87 95
00001971,48 66 83 87 95
00004126,48 73 89
00000388,47 70 84
00000344,44 48 73 76 87
00006388,46 76 98
00002307,70 87 101
00006513,8 10 36
00001956,48 64 73 91
00000839,67 73 80 84
00006314,8 10 31 34
00003262,48 52 87
00000359,46 70 84 89 98
00003990,5 8 72 73 79 82 83 94
00001158,82 93
00001668,24 30 58
00003677,46 59 66 70 84
00003920,51 59 84 85
00001347,73 82 93 94 101
00002990,30 62 84 88
00004103,47 65 73 94 96
00006573,56 68
00001446,24 27
00006850,35 46 70 93
00002383,48 50 87
00001944,8 30 58
00003014,51 59 70 77 84
00000324,8 72 82 84 88 94
00002703,48 65 87
00003357,24 52 58
00002190,58 67 82
00001663,3 46 58 59 80
00000616,8 84 88
00004295,3 58 80 93
00004040,58 61
00000264,46 58 70 87
00001847,8 44 89
00000917,48 80
00006332,41 45
00003655,10 30
00003777,48 87
00001457,9 11 46 58 73 89 92
00004284,37 46 52 56 85 96
00002118,10 30
00000544,47 84
00002573,30 67
00006848,40 58
00004113,8 50 73 87
00003408,46 58 70 72 84 87 88
00002540,47 70 87
00006779,5 17
00006420,36 47 71 85
00001285,35 38 47 58 73 94
00000097,10 52
00003236,4 5
00002557,48 72 87 0
00003294,49 70 95
00002402,8 12 30 58
00003791,46 66 84
00006369,9 47 98
00001308,67 76
00001810,8 50 89
00001573,46 70 95
00004255,21 48 70 77
00002799,48 65 84
00003298,10 44 54 84 89 94
00000880,8 10 13
00006488,9 19 67
00000828,46 52 58
00003872,48 70 84 87
00006843,45 56 65 82
00000252,12 30 34
00000965,52 53 56 66 87
00001435,31 67 70
00003157,37 48 52
00002828,37 54 73 84 85 89 93 98
00003538,5 8 30 32 89
00001719,14 46 70 96
00000819,48 52 67
00001984,46 70 72 73 87 89
00000865,3 46
00001861,48 66 84 89
00001139,9 10 30
00003770,48 52 58 64 87
00000511,41 52 65 73
00001044,48 58 73 76 80
00001946,9 49 52 58 73 80
00006647,14 25 40 84 89
00002232,46 52 70 96
00006348,10 14 17
00003798,57 73 93
00001950,10 30
00000959,10 31
00003042,47 59 66 73 93 94 96
00002556,47 70 95
00002050,37 54 73 87
00001937,3 11 52 94
00001052,47 66 84 0
00002729,52 67 73 89
00006489,5 17
00001858,5 25 52 89
00001607,48 70 77 80 84 102
00001222,58 64
00006676,3 5 8 17 31 36
00006636,25 80
00002511,48 84 91 101
00002217,3 47 52 58 73 80
00006460,8 36 58
00000174,9 10 16 44 89
00003804,48 52
00006744,30 40 42
00002201,5 13
00001631,48 65
00002852,48 59 65 70
00001362,54 58 87
00001136,48 59 66
00003124,47 66 87 94
00002258,37 47 89
00006499,34 56 80 89 93
00003344,48 66 70 87
00000685,45 49 67
00000083,52 76 82 87 94
00002685,47 70 84 93 101
00001649,46 70 87 98
00000467,10 29
00001754,14 37
00003088,47 67 82 89 93
00002122,54 56 73 82 91 93
00000519,9 48 58 65
00000498,46 52 58 71 80
00001808,51 69 70 93
00003869,9 48 58 73 80
00001735,54 66 73 84 89 98
00002641,25 40 41 67 70
00003787,47 65 95
00003638,24 49 58
00002447,46 70 84 93
00000266,3 46 58 73 93
00001152,5 84 87 90 94
00001813,5 84 0
00002776,24 47 58 84 101
00006540,14 37
00006403,20 34 66
00003441,3 46 49 52 58
00003036,48 52 70 84 85
00003096,41 67
00001498,37 48 66 89
00001797,48 66 87
00003547,49 52 58 88
00003692,10 25
00000441,31 58
00003783,46 73 87
00001888,50 70 84 96
00006331,56 71 90 94
00001770,64 73 87
00003352,8 37 44 59
00002412,52 82 84 94
00003629,48 66 84 95
00000762,48 59 93
00003327,46 59
00000967,37 46 52
00002150,65 84 89 98
00004176,46 52 72 89
00001513,10 32
00002044,46 59 70 73 89
00006520,17 41 58 0
00004306,21 46 70 89
00001375,48 57 84 88
00004381,8 67 84 96
00001003,8 37 67
00002588,56 85
00000824,5 13
00006615,45 48 59 82 93
00000743,47 48 65 96
00002585,8 54 59 70
00001865,46 70 84 88 91 93
00001564,8 50 59 70 73 80 82 84 93 94
00003895,10 41
00004339,8 46 70 84 93
00002453,48 70 84 96
00003856,12 41 42 44
00000709,37 46 87 89 101
00002390,46 50 82
00000444,3 46 73
00003673,51 67 87 95
00001077,47 58 87
00003853,37 48 70 84 87
00000690,46 70 87
00003678,52 66 73 84
00001903,46 48 84 87
00006858,11 44 46 49 52
00001201,9 46 70 85
00003927,5 49 54
00002604,24 29 32 67
00006399,14 78
00002735,48 59 66 87
00006845,12 30 40
00002213,52 58 73 93
00001207,49 89
00001202,8 73 82 84
00003238,8 46 58 80 93 94
00003471,4 8 10 30
00004224,25 73
00004004,47 65 96
00006631,8 36 48
00000645,54 73 89 93 95
00002427,24 44 50 70 73 94
00000480,14 47 59
00003737,28 46 52 58 80 82 0
00002273,3 46
00003005,3 48 52
00002545,15 59 67
00000853,9 24 29 47 49 58 80
00003581,30 52 58
00006773,48 81 89
00006402,8 36
00003481,32 67
00001322,46 59 70
00002544,54 73 80
00003355,15 37 80 82 94
00002718,47 48 95
00000054,5 8 84
00003420,46 84 89
00000972,10 30 32 46 58 59 80
00004326,11 47 52 59 71 77 78 89
00002819,47 52 82 89
00001115,64 66 73 89
00002424,8 84 88 89
00000829,52 67 70 73 88 89
00002113,24 50
00002505,8 24 73 82 84 88
00003970,8 30 32
00006577,32 34
00000342,8 41 58 73 84
00003576,46 82 84 91 93
00002772,71 73 93 94
00000285,16 46 58
00002670,49 85
00003809,5 48 65
00000698,48 58 59 70
00001184,3 9 46 50 58 73 80
00001191,48 59 70 95
00002672,3 8 37 48
00000150,8 10
00000808,48 84 93 96
00000594,48 70 72 87 96
00004394,46 65 73 89
00001789,5 8 73 80
00002373,5 48 52 88
00003085,3 46 58 82
00002538,52 73
00003451,13 48 66 84 87 94
00000295,57 84 88
00001397,46 50 70 92
00004117,10 13
00001726,80 84
00000377,51 59 70
00000697,8 84 88
00001262,46 70 84
00003315,46 52 59 70
00002429,58 70 95
00001062,50 84
00000705,48 73 87
00003099,46 66 84 87 93 98
00002306,8 54 55 70 84 89
00006655,9 90 94
00003265,30 58
00001625,8 30 40
00004252,37 47 70 73 82 89
00002499,65 67 73 77
00000804,33 58
00000250,3 46 50 84 89 93
00001683,48 70 76 84
00000866,48 58 70 87
00004248,46 70 87
00004063,54 89 96
00001930,51 70 85 89
00000163,48 49 66 87 93 96
00003009,24 46 93 94 96
00002231,54 70 84 95
00002345,48 66 87
00006770,79 102
00000863,73 82
00000704,30 34 40 44 52
00001993,11 51 85
00002699,48 66 82 84
00002917,46 66 87
00004319,46 58
00006565,12 81
00000159,48 59 70 84 94
00002342,8 10 32
00003967,46 70 84
00000110,54 70 72 84 87
00001209,48 80 101
00001541,8 24 37 48 80 84
00002814,9 35 94
00006688,3 34 37 73 83
00002298,13 58
00001387,9 54 70 84
00001650,52 68 73 84 87 0
00002938,48 87
00002465,3 8 37 89 0
00002994,52 88 89
00003728,48 70 87
00001817,10 31
00000075,4 10 24
00003793,4 8 10
00000262,18 48 67 87
00002193,72 84 88
00000536,54 66 72 84 89
00006303,69 89
00000068,9 14 52 58 73 93
00002620,30 32 58
00003751,25 67
00000999,50 73 80
00002176,12 30 41
00006634,20 22 52 87 93
00003120,50 58
00003349,10 25 29 44
00004089,37 54 84 89 96
00001337,8 10 30
00002752,47 52 89
00006754,40 45 89
00000466,46 56 66 93
00003283,28 66 73 93
00000478,10 15
00002354,61 82 89 94
00000984,52 64 87
00006840,47 68 88 89
00002230,47 66 96
00003204,50 73 80
00003220,11 46 84
00006554,56 79 89
00001359,47 73 82
00006556,27 67
00002252,48 73 87 91
00000340,37 48 76
00004030,29 30 31
00002305,37 46 89
00000236,28 73
00003197,48 52 58 73 89
00002893,70 73 87
00003249,47 73 80
00003893,29 48 52 67
00002897,87 94
00004399,47 64 67 85
00001399,9 41 58 73 80
00006511,14 37 45
00000626,11 52 67 89 94
00000045,48 58 59 73 93
00000065,14 37
00000041,37 54 85
00002476,8 30 32 67
00000599,52 58 82 84 88 89
00000979,48 52 65
00000367,8 54 80
00004328,48 64 87
00000985,5 52 73 89
00002064,52 67
00000914,8 10 41
00004233,48 65 84 87
00003119,8 31 44 58
00000445,47 58 91
00001032,30 46 52 66 95
00001531,46 52
00001751,54 70 84 89
00001028,24 52 56 76
00001645,37 58
00001904,47 65 87
00003405,46 70 84
00003606,46 58
00000588,46 70 87
00001920,3 9 46 58 80 101
00003234,52 66 93
00001651,30 58
00003458,13 58 81
00000712,47 48 70 87
00000877,48 69 70 72 84 87
00006707,18 46 66 88 89
00001442,37 54 70 77 84 93
00001366,3 47 52 73 87 98
00002363,47 70 72 73 87
00002100,8 33 54 67 89
00003857,48 66 76 84 88
00000482,46 59 70 85
00003453,44 57 71 89
00006782,22 38
00006412,5 17
00000188,52 58 73 80
00006716,14 36
00003235,9 49 52 58 89
00001143,37 47 89
00001050,84 91
00002355,9 24 28 58 73 89
00001004,37 48 73 80
00002507,47 58 70 72 84 87
00006294,14 27
00000739,48 66 82 85
00000793,8 41 47 58
00000504,47 70 87
00000973,8 43
00000522,37 48 65 73 80 91
00001039,5 8 88 94
00006746,8 9 59 98
00003046,9 58
00003178,46 70 95
00003281,65 72 73 87 89 93
00000203,48 87
00002784,30 58
00006322,58 81
00006522,85 98
00002972,5 24 49
00006442,19 85 86
00000391,3 46 58 80
00002909,47 58 73
00000838,8 73 83 84 85 90 94
00000996,37 96
00003835,8 48 87
00003421,49 59 84
00004382,24 47 84 94
00003513,67 84 89 93
00002675,47 59 70
00006819,14 44
00000293,46 52 89 94 102
00006379,40 47 76 89 93
00001321,48 64 66
00004359,47 70 84
00000562,24 36 58
00002907,48 70 87
00001592,48 57 89
00003729,1 5 13 30 41
00000589,37 56 65 95
00001852,48 66 84 87
00000184,8 52 67 70 80 95
00002824,50 52
00003733,46 84 87
00002314,46 70 87
00006430,15 36
00001996,47 70 84 96
00001605,14 46 52 89 93
00003064,46 58 59 70
00006437,39 58 89
00000906,5 13
00000832,4 8 30
00002218,47 58 73 80
00000928,47 89 96
00000038,15 30 37 89
00004145,24 29 67
00000215,8 32
00003364,37 52 73 93
00006805,18 79
00004007,52 72 73 83 84
00000640,32 67
00002725,48 66 72 76 84 87 96
00002138,49 64
00003647,24 49 52 58
00001963,31 49 61 67 73 82
00003422,46 58 73 80
00002445,46 84 87
00002715,48 73 80
00001486,10 31 89
00003117,12 37 73 89 94
00000382,31 58
00002247,11 49 52 89
00006415,52 54 89 94
00006807,31 33 36
00003292,13 44 58 67
00003551,47 52
00001780,31 33 41 42 43 44 67
00006418,12 17 29
00001367,48 52 73 80 82
00002812,46 58 70 84 85
00001414,10 29 30
00003867,50 73 80
00003854,8 48 52 73 80
00003951,46 52 59 70 0
00003651,28 48 52
00003040,69 84 91 92 94
00006570,66 67 89 90
00000279,8 25 58 82
00000955,29 58
00001717,3 37 54 82 85 87 95 96
00000801,57 58 89
00003786,54 73 82
00003885,46 70 84 88 91 93
00000882,13 67
00002033,32 0
00003473,46 66 84 96
00002440,8 72 82 84 85 88 94
00000583,10 30
00003231,37 50 73
00003702,46 59 70
00006789,1 5 9 15
00002732,48 52
00000831,46 70 84
00004355,30 46 71 77
00000170,5 52 101
00002084,48 65 87
00000190,47 70 72 87 0
00002393,48 66 87 101
00003767,46 58 73 89 93
00004125,29 58
00001502,8 30 32 58
00002519,10 32 37
00000080,9 41 58 73
00000247,28 37 46 52 58 80
00004278,17 48 71 73 96 98 0
00000980,49 56 58 59 70 89
00000797,9 46 49 58 73 80
00003337,5 8 50 52
00000049,72 82 84 87 96
00003080,24 44 49
00001814,52 84 89
00006740,36 47 70 87
00001982,47 72 84 93
00001824,13 58
00006343,10 13 67
00002381,3 37 52 54 73 80
00001319,51 70 80 84
00001149,8 48 67 73 80 82 93
00004204,73 96
00001660,46 50 84 89 0
00000363,3 47 52 66
00001674,51 58 70
00001409,46 70 84
00000006,49 52 59 70 84
00000726,16 37 58
00002789,5 24 58
00002627,52 82 84 89
00003687,11 50 57 58 89
00002941,14 29 30
00003590,8 9 58 73 89
00000390,24 46 58 93
00001300,37 67
00001841,31 58
00003443,48 52 66 72 84 87 96
00003813,50 52 64 85
00002884,11 48 52 66 70 77 84 95
00001517,3 46 58 80
00002581,47 70 72 87
00000107,51 52
00003789,46 59 70 84 87 95
00000297,25 62
00003379,54 70 84 96
00001665,51 70 84 89 95
00002569,48 64 73 80
00001365,48 66 73 95 96
00002587,48 58 80 82 84
00000758,8 30 33 41 58
00001056,24 49 59
00001667,30 41 45 89
00002483,3 52 66 70
00006827,10 17
00001219,47 58 67 82
00003902,58 73 80 98
00001883,8 52 54 73 80 83 84 88 93 94
00000130,24 58
00000237,14 44
00001562,37 49 56
00000269,56 73 80
00001211,13 48 52
00000775,10 31
00006506,5 22 38
00006693,35 39 47 49
00000526,24 46
00001341,15 24 54 58 89
00006812,78 80 101
00006841,25 40 41 42
00003539,52 76 82 83 84
00004266,12 30
00000313,46 70 87
00001146,8 28 46
00001491,8 31 41 0
00003134,8 10 30
00003775,47 66 87
00000520,67 73
00006480,18 66 89
00004148,14 37
00006751,68 77
00003875,52 82 84 90
00001934,46 65 70
00003170,48 66 87
00004085,48 73 90
00001899,11 28 48 58
00003842,37 48 58 59 80 93 0
00001514,3 52
00001460,4 10 29 33
00004323,10 13
00004380,3 8 84 88
00000842,25 48 59 87
00006515,9 40 49 80
00001426,24 44 49 58
00001692,46 66 87
00001574,8 73 94
00002749,54 70 89 95
00004191,52 58
00001823,12 30
00001476,9 66 73 89 93 96
00003890,48 59 66
00001315,47 70 84
00001239,3 47 58 73 93
00002142,46 52 73 82 89
00000799,52 54 70 84 91
00000355,47 64 72 87 89 98
00003656,12 73 89
00006486,22 25 67
00002022,3 46 49 52 58 82 93
00000622,8 48 73 89
00003418,12 29 44
00004075,8 56 88
00006632,37 40
00006313,37 40
00002516,46 52 58 73 80 93
00000995,48 52 66 96
00002099,51 58 84 96 0
00006689,5 59 81
00006633,8 10 36
00003542,46 70 96
00004149,37 67
00004036,48 66 73
00000248,46 70 84 93
00002049,48 59 70
00001253,46 87 94
00000460,48 52 66 70 84
00001216,9 47 66 85 87
00002183,46 70 73 96
00000778,8 48
00000383,10 30
00006362,8 27 52 67
00004259,22 48 67 72 84 87 89
00004138,54 87
00001941,49 58
00002773,52 85 94
00003072,10 25
00006650,8 49 58 80 87 94
00006466,5 20
00001223,37 58
00006708,81 82 87 93
00000510,46 70 84 93
00004049,48 59 87
00006821,15 34 0
00001508,8 30 32
00002740,12 30
00000440,46 70 80
00003748,56 58 73 89
00003586,51 58 84 90 98
00001305,25 44 49 89 93
00001394,9 49 70 80 82 93
00004307,46 70 76 87 101
00004042,3 52 94
00002503,46 70 87
00000094,3 46 52 58 80
00000798,47 70 84 85
00003862,47 59 73
00006519,79 94
00003437,20 30 58
00002294,58 73
00003438,50 52 72 84 87
00001493,37 54 58 67 87
00000827,52 67
00004192,24 49 52 67
00006438,10 13 20
00006389,17 47 70 73 96
00002788,47 70 87 101
00003945,44 48 76
00001957,47 70 84
00006593,9 27 52
00003887,47 70 71 72 84 101
00001344,48 87
00003266,48 59 66
00001212,5 8 73 89
00004370,8 46 73 87
00002048,46 67 84 89 95
00002034,37 44 48 66
00001336,5 13
00000218,47 66 84
00000397,48 59 66
00003274,44 47
00003807,8 25 40 41
00003343,28 46 58 59
00000335,46 70 84 91
00006711,40 48 89
00002739,5 41 58
00001483,14 37
00001274,46 58 73 80 93
00003741,54 66 87
00002954,48 66 67 72 84 87
00001906,46 70 84
00003477,8 46 58 71 93 0
00003732,8 73 84
00002779,23 52 73 82 93
